date,state,epidemiological_week_2020,deaths_total_2019,deaths_total_2020,deaths_covid19,new_deaths_total_2020,deaths_indeterminate_2019,deaths_indeterminate_2020,deaths_others_2019,deaths_others_2020,deaths_pneumonia_2019,deaths_pneumonia_2020,deaths_respiratory_failure_2019,deaths_respiratory_failure_2020,deaths_sars_2019,deaths_sars_2020,deaths_septicemia_2019,deaths_septicemia_2020,new_deaths_covid19,new_deaths_indeterminate_2020,new_deaths_others_2020,new_deaths_pneumonia_2020,new_deaths_respiratory_failure_2020,new_deaths_sars_2020,new_deaths_septicemia_2020
2020-12-31,AC,53,3382,1450,,0,,,1904,,833,,,,,,396,,,,,,,,
2020-12-31,AL,53,14134,6192,,0,,,8369,,2349,,1374,,,,1926,,,,,,,,
2020-12-31,AM,53,12526,7937,,0,140,,7863,,2071,,612,,,,1807,,,,,,,,
2020-12-31,AP,53,2067,591,,0,,,1093,,387,,209,,,,,,,,,,,,
2020-12-31,BA,53,56155,19355,,0,,,35453,,6204,,6408,,,,7919,,,,,,,,
2020-12-31,CE,53,37952,18377,,0,,,23058,,7086,,2869,,,,4762,,,,,,,,
2020-12-31,DF,53,13942,5460,,0,138,,7052,,3256,,985,,,,2470,,,,,,,,
2020-12-31,ES,53,22885,9082,,0,,,12614,,5123,,1352,,,,3755,,,,,,,,
2020-12-31,GO,53,28487,10454,,0,165,,14863,,6511,,3158,,,,3751,,,,,,,,
2020-12-31,MA,53,16518,7870,,0,,,10913,,2180,,1652,,,,1638,,,,,,,,
2020-12-31,MG,53,114722,43492,,0,2140,,64370,,20225,,10427,,210,,17350,,,,,,,,
2020-12-31,MS,53,14752,5403,,0,,,7901,,3524,,1348,,,,1851,,,,,,,,
2020-12-31,MT,53,11774,3985,,0,30,,9333,,989,,672,,,,730,,,,,,,,
2020-12-31,PA,53,22127,9352,,0,,,12475,,4143,,2527,,,,2752,,,,,,,,
2020-12-31,PB,53,24815,8989,,0,162,,13939,,4612,,2424,,,,3654,,,,,,,,
2020-12-31,PE,53,58055,26181,,0,374,,31339,,8003,,4861,,,,13428,,,,,,,,
2020-12-31,PI,53,12347,3671,,0,,,6542,,2422,,1737,,,,1569,,,,,,,,
2020-12-31,PR,53,62618,23297,,0,380,,36261,,11912,,4880,,,,9065,,,,,,,,
2020-12-31,RJ,53,128832,57724,,0,464,,71777,,23843,,9356,,,,23291,,,,,,,,
2020-12-31,RN,53,14369,5148,,0,,,7753,,3181,,967,,,,2330,,,,,,,,
2020-12-31,RO,53,6720,2714,,0,,,4036,,1050,,660,,,,913,,,,,,,,
2020-12-31,RR,53,2130,897,,0,,,1202,,478,,,,,,,,,,,,,,
2020-12-31,RS,53,83131,29010,,0,616,,47434,,15681,,7143,,,,12170,,,,,,,,
2020-12-31,SC,53,37980,13474,,0,245,,21739,,7199,,3390,,,,5341,,,,,,,,
2020-12-31,SE,53,10762,3798,,0,,,6114,,1672,,874,,,,1991,,,,,,,,
2020-12-31,SP,53,302856,116680,,0,1583,,159463,,72768,,25549,,295,,43198,,,,,,,,
2020-12-31,TO,53,4945,1752,,0,,,3065,,871,,443,,,,507,,,,,,,,
2020-12-30,AC,53,3370,1450,,0,,,1899,,827,,210,,,,,,,,,,,,
2020-12-30,AL,53,14106,6192,,0,,,8347,,2348,,1371,,,,1924,,,,,,,,
2020-12-30,AM,53,12480,7937,,0,,,7835,,2061,,610,,,,1803,,,,,,,,
2020-12-30,AP,53,2060,591,,0,,,,,386,,,,,,,,,,,,,,
2020-12-30,BA,53,56011,19355,,0,,,35363,,6187,,6388,,,,7902,,,,,,,,
2020-12-30,CE,53,37850,18377,,0,,,22992,,7069,,2865,,,,4747,,,,,,,,
2020-12-30,DF,53,13908,5460,,0,137,,7035,,3248,,983,,,,2464,,,,,,,,
2020-12-30,ES,53,22825,9082,,0,,,12581,,5111,,1347,,,,3745,,,,,,,,
2020-12-30,GO,53,28400,10454,,0,,,14814,,6496,,3145,,,,3743,,,,,,,,
2020-12-30,MA,53,16485,7870,,0,129,,10891,,2177,,1647,,,,1635,,,,,,,,
2020-12-30,MG,53,114434,43492,,0,2134,,64206,,20182,,10399,,209,,17304,,,,,,,,
